FirstByte	LastByte	Type	Compressed	Extracted	Description	Modified
370200	37058F	PTR	No	No	"Pointers to dialogue (+370200, starts at 370590)"	4/29/2003
370590	374AB7	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
374AB8			No	No		4/29/2003
374B00	375465	PTR	No	No	"Pointers to dialogue (+370200, starts at 375466)"	4/29/2003
375466	37FB7F	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
37FB80	37FDE2	EVENT	Yes	No	(015) Location Event Data	7/10/2003
37FDE3	3801D0	EVENT	Yes	No	(016) Location Event Data	7/10/2003
3801D1	3801FF	---	No	No	UNUSED SPACE (47 bytes)	7/10/2003
380200	380329	EVENT	Yes	No	(06F) Location Event Data	7/10/2003
38032A	380493	EVENT	Yes	No	(070) Location Event Data	7/10/2003
380494	380952	EVENT	Yes	No	(071) Location Event Data	7/10/2003
380953	380D8B	EVENT	Yes	No	(072) Location Event Data	7/10/2003
380D8C	380EE5	EVENT	Yes	No	(073) Location Event Data	7/10/2003
380EE6	3815E1	EVENT	Yes	No	(074) Location Event Data	7/10/2003
3815E2	3819D4	EVENT	Yes	No	(075) Location Event Data	7/10/2003
3819D5	381BC1	EVENT	Yes	No	(076) Location Event Data	7/10/2003
381BC2	381CB5	EVENT	Yes	No	(077) Location Event Data	7/10/2003
381CB6	381D4C	EVENT	Yes	No	(078) Location Event Data	7/10/2003
381D4D	381DCD	EVENT	Yes	No	(079) Location Event Data	7/10/2003
381DCE	381F0E	EVENT	Yes	No	(07A) Location Event Data	7/10/2003
381F0F	382016	EVENT	Yes	No	(07B) Location Event Data	7/10/2003
382017	382115	EVENT	Yes	No	(07C) Location Event Data	7/10/2003
382116	3821A0	EVENT	Yes	No	(07D) Location Event Data	7/10/2003
3821A1	382387	EVENT	Yes	No	(07E) Location Event Data	7/10/2003
382388	3824B7	EVENT	Yes	No	(07F) Location Event Data	7/10/2003
3824B8	3825B7	EVENT	Yes	No	(080) Location Event Data	7/10/2003
3825B8	38274B	EVENT	Yes	No	(081) Location Event Data	7/10/2003
38274C	3828B9	EVENT	Yes	No	(082) Location Event Data	7/10/2003
3828BA	382AEA	EVENT	Yes	No	(083) Location Event Data	7/10/2003
382AEB	382C66	EVENT	Yes	No	(084) Location Event Data	7/10/2003
382C67	382F68	EVENT	Yes	No	(085) Location Event Data	7/10/2003
382F69	383159	EVENT	Yes	No	(086) Location Event Data	7/10/2003
38315A	38347E	EVENT	Yes	No	(087) Location Event Data	7/10/2003
38347F	3838AA	EVENT	Yes	No	(088) Location Event Data	7/10/2003
3838AB	3838FF	EVENT	Yes	No	(089) Location Event Data	7/10/2003
383900	383E8D	EVENT	Yes	No	(08A) Location Event Data	7/10/2003
383E8E	3841F0	EVENT	Yes	No	(08B) Location Event Data	7/10/2003
3841F1	384478	EVENT	Yes	No	(08C) Location Event Data	7/10/2003
384479	384739	EVENT	Yes	No	(08D) Location Event Data	7/10/2003
38473A	38478E	EVENT	Yes	No	(08E) Location Event Data	7/10/2003
38478F	3847E3	EVENT	Yes	No	(08F) Location Event Data	7/10/2003
3847E4	384838	EVENT	Yes	No	(090) Location Event Data	7/10/2003
384839	38484F	---	No	No	UNUSED SPACE (23 bytes)	7/10/2003
384850	384E4F	PTR	No	No	"Pointers to dialogue (+380200, starts at 384E50)"	4/29/2003
384E50	38AC93	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
38AC94			No	No		4/29/2003
38B370	38B66D	EVENT	Yes	No	(091) Location Event Data	7/10/2003
38B66E	38B7C9	EVENT	Yes	No	(092) Location Event Data	7/10/2003
38B7CA	38B937	EVENT	Yes	No	(093) Location Event Data	7/10/2003
38B938	38BB6F	EVENT	Yes	No	(094) Location Event Data	7/10/2003
38BB70	38BD0C	EVENT	Yes	No	(095) Location Event Data	7/10/2003
38BD0D	38BDCE	EVENT	Yes	No	(096) Location Event Data	7/10/2003
38BDCF	38BEE1	EVENT	Yes	No	(097) Location Event Data	7/10/2003
38BEE2	38C0F2	EVENT	Yes	No	(098) Location Event Data	7/10/2003
38C0F3	38C2DE	EVENT	Yes	No	(099) Location Event Data	7/10/2003
38C2DF	38C596	EVENT	Yes	No	(09A) Location Event Data	7/10/2003
38C597	38C626	EVENT	Yes	No	(09B) Location Event Data	7/10/2003
38C627	38C7B4	EVENT	Yes	No	(09C) Location Event Data	7/10/2003
38C7B5	38CCF5	EVENT	Yes	No	(09D) Location Event Data	7/10/2003
38CCF6	38CF76	EVENT	Yes	No	(09E) Location Event Data	7/10/2003
38CF77	38D2C2	EVENT	Yes	No	(09F) Location Event Data	7/10/2003
38D2C3	38D7B1	EVENT	Yes	No	(0A0) Location Event Data	7/10/2003
38D7B2	38D99B	EVENT	Yes	No	(0A1) Location Event Data	7/10/2003
38D99C	38DC9D	EVENT	Yes	No	(0A2) Location Event Data	7/10/2003
38DC9E	38E176	EVENT	Yes	No	(0A3) Location Event Data	7/10/2003
38E177	38E77A	EVENT	Yes	No	(0A4) Location Event Data	7/10/2003
38E77B	38E8A5	EVENT	Yes	No	(0A5) Location Event Data	7/10/2003
38E8A6	38ED73	EVENT	Yes	No	(0A6) Location Event Data	7/10/2003
38ED74	38F118	EVENT	Yes	No	(0A7) Location Event Data	7/10/2003
38F119	38F251	EVENT	Yes	No	(0A8) Location Event Data	7/10/2003
38F252	38F406	EVENT	Yes	No	(0A9) Location Event Data	7/10/2003
38F407	38F479	EVENT	Yes	No	(0AA) Location Event Data	7/10/2003
38F47A	38F663	EVENT	Yes	No	(0AB) Location Event Data	7/10/2003
38F664	38F8F5	EVENT	Yes	No	(0AC) Location Event Data	7/10/2003
38F8F6	38FC07	EVENT	Yes	No	(0AD) Location Event Data	7/10/2003
38FC08	38FDDD	EVENT	Yes	No	(0AE) Location Event Data	7/10/2003
38FDDE	390097	EVENT	Yes	No	(0AF) Location Event Data	7/10/2003
390098	3901F3	EVENT	Yes	No	(0B0) Location Event Data	7/10/2003
3901F4	3901FF	---	No	No	UNUSED SPACE (12 bytes)	7/10/2003
390200	390816	EVENT	Yes	No	(0B1) Location Event Data	7/10/2003
390817	390E61	EVENT	Yes	No	(0B2) Location Event Data	7/10/2003
390E62	39188F	EVENT	Yes	No	(0B3) Location Event Data	7/10/2003
391890	391C1B	EVENT	Yes	No	(0B4) Location Event Data	7/10/2003
391C1C	391DFC	EVENT	Yes	No	(0B5) Location Event Data	7/10/2003
391DFD	392082	EVENT	Yes	No	(0B6) Location Event Data	7/10/2003
392083	39264F	EVENT	Yes	No	(0B7) Location Event Data	7/10/2003
392650	392771	EVENT	Yes	No	(0B8) Location Event Data	7/10/2003
392772	392D3C	EVENT	Yes	No	(0B9) Location Event Data	7/10/2003
392D3D	3933C6	EVENT	Yes	No	(0BA) Location Event Data	7/10/2003
3933C7	393ADC	EVENT	Yes	No	(0BB) Location Event Data	7/10/2003
393ADD	394285	EVENT	Yes	No	(0BC) Location Event Data	7/10/2003
394286	39462B	EVENT	Yes	No	(0BD) Location Event Data	7/10/2003
39462C	394B16	EVENT	Yes	No	(0BE) Location Event Data	7/10/2003
394B17	394C18	EVENT	Yes	No	(0BF) Location Event Data	7/10/2003
394C19	394DF7	EVENT	Yes	No	(0C0) Location Event Data	7/10/2003
394DF8	394F52	EVENT	Yes	No	(0C1) Location Event Data	7/10/2003
394F53	395082	EVENT	Yes	No	(0C2) Location Event Data	7/10/2003
395083	395368	EVENT	Yes	No	(0C3) Location Event Data	7/10/2003
395369	395702	EVENT	Yes	No	(0C4) Location Event Data	7/10/2003
395703	395A05	EVENT	Yes	No	(0C5) Location Event Data	7/10/2003
395A06	395D35	EVENT	Yes	No	(0C6) Location Event Data	7/10/2003
395D36	395F35	EVENT	Yes	No	(0C7:0C8) Location Event Data	7/10/2003
395F36	3962A5	EVENT	Yes	No	(0C9) Location Event Data	7/10/2003
3962A6	3963A7	EVENT	Yes	No	(0CA) Location Event Data	7/10/2003
3963A8	3965C2	EVENT	Yes	No	(0CB) Location Event Data	7/10/2003
3965C3	3968B2	EVENT	Yes	No	(0CC) Location Event Data	7/10/2003
3968B3	396BCD	EVENT	Yes	No	(0CD) Location Event Data	7/10/2003
396BCE	396F7B	EVENT	Yes	No	(0CE) Location Event Data	7/10/2003
396F7C	3975C4	EVENT	Yes	No	(0CF:D0) Location Event Data	7/10/2003
3975C5	3979B4	EVENT	Yes	No	(0D1) Location Event Data	7/10/2003
3979B5	397A94	EVENT	Yes	No	(0D2) Location Event Data	7/10/2003
397A95	397B41	EVENT	Yes	No	(0D3) Location Event Data	7/10/2003
397B42	397D5A	EVENT	Yes	No	(0D4) Location Event Data	7/10/2003
397D5B	397F26	EVENT	Yes	No	(0D5) Location Event Data	7/10/2003
397F27	398140	EVENT	Yes	No	(0D6) Location Event Data	7/10/2003
398141	398378	EVENT	Yes	No	(0D7) Location Event Data	7/10/2003
398379	3984D9	EVENT	Yes	No	(0D8) Location Event Data	7/10/2003
3984DA	39893D	EVENT	Yes	No	(0D9) Location Event Data	7/10/2003
39893E	398B32	EVENT	Yes	No	(0DA) Location Event Data	7/10/2003
398B33	398BA7	EVENT	Yes	No	(0DB) Location Event Data	7/10/2003
398BA8	398E69	EVENT	Yes	No	(0DC) Location Event Data	7/10/2003
398E6A	399043	EVENT	Yes	No	(0DD) Location Event Data	7/10/2003
399044	39940B	EVENT	Yes	No	(0DE) Location Event Data	7/10/2003
39940C	399E27	EVENT	Yes	No	(0DF) Location Event Data	7/10/2003
399E28	39A233	EVENT	Yes	No	(0E0) Location Event Data	7/10/2003
39A234	39A326	EVENT	Yes	No	(0E1) Location Event Data	7/10/2003
39A327	39A43D	EVENT	Yes	No	(0E2) Location Event Data	7/10/2003
39A43E	39B1E8	EVENT	Yes	No	(0E3:E6) Location Event Data	7/10/2003
39B1E9	39B1FF	JUNK	No	No	Non-terminating compressed event data	7/10/2003
39B200	39B577	PTR	No	No	"Pointers to dialogue (+390200, starts at 39B578)"	4/29/2003
39B578	39FC75	TXT	No	No	Dialogue (Huffman compressed)	4/29/2003
39FC76			No	No		4/29/2003
3A0200	3A040A	EVENT	Yes	No	(0EC) Location Event Data	7/10/2003
3A040B	3A052E	EVENT	Yes	No	(0ED) Location Event Data	7/10/2003
3A052F	3A085E	EVENT	Yes	No	(0EE) Location Event Data	7/10/2003
3A085F	3A0A6A	EVENT	Yes	No	(0EF) Location Event Data	7/10/2003
3A0A6B	3A14A6	EVENT	Yes	No	(0F0) Location Event Data	7/10/2003
3A14A7	3A1648	EVENT	Yes	No	(0F1) Location Event Data	7/10/2003
3A1649	3A1CB8	EVENT	Yes	No	(0F2) Location Event Data	7/10/2003
3A1CB9	3A22C7	EVENT	Yes	No	(0F3) Location Event Data	7/10/2003
3A22C8	3A25DB	EVENT	Yes	No	(0F4) Location Event Data	7/10/2003
3A25DC	3A29C0	EVENT	Yes	No	(0F5) Location Event Data	7/10/2003
3A29C1	3A2E67	EVENT	Yes	No	(0F6) Location Event Data	7/10/2003
3A2E68	3A31F2	EVENT	Yes	No	(0F7) Location Event Data	7/10/2003
3A31F3	3A375B	EVENT	Yes	No	(0F8) Location Event Data	7/10/2003
3A375C	3A3A0A	EVENT	Yes	No	(0F9) Location Event Data	7/10/2003
3A3A0B	3A3E35	EVENT	Yes	No	(0FA) Location Event Data	7/10/2003
3A3E36	3A4283	EVENT	Yes	No	(0FB) Location Event Data	7/10/2003
3A4284	3A44B0	EVENT	Yes	No	(0FC) Location Event Data	7/10/2003
3A44B1	3A4A8A	EVENT	Yes	No	(0FD) Location Event Data	7/10/2003
3A4A8B	3A4E67	EVENT	Yes	No	(0FE) Location Event Data	7/10/2003
3A4E68	3A529C	EVENT	Yes	No	(0FF) Location Event Data	7/10/2003
3A529D	3A56FE	EVENT	Yes	No	(100) Location Event Data	7/10/2003
3A56FF	3A5977	EVENT	Yes	No	(101) Location Event Data	7/10/2003
3A5978	3A59FF	EVENT	Yes	No	(102) Location Event Data	7/10/2003
3A5A00	3A5D02	EVENT	Yes	No	(103) Location Event Data	7/10/2003
3A5D03	3A5DE0	EVENT	Yes	No	(104) Location Event Data	7/10/2003
3A5DE1	3A6614	EVENT	Yes	No	(105) Location Event Data	7/10/2003
3A6615	3A6731	EVENT	Yes	No	(106) Location Event Data	7/10/2003
3A6732	3A6775	EVENT	Yes	No	(107) Location Event Data	7/10/2003
3A6776	3A6815	EVENT	Yes	No	(108) Location Event Data	7/10/2003
3A6816	3A6A57	EVENT	Yes	No	(109) Location Event Data	7/10/2003
3A6A58	3A6FAD	EVENT	Yes	No	(10A) Location Event Data	7/10/2003
3A6FAE	3A742B	EVENT	Yes	No	(10B) Location Event Data	7/10/2003
3A742C	3A758B	EVENT	Yes	No	(10C) Location Event Data	7/10/2003
3A758C	3A7D80	EVENT	Yes	No	(10D) Location Event Data	7/10/2003
3A7D81	3A7F2E	EVENT	Yes	No	(10E) Location Event Data	7/10/2003
3A7F2F	3A817E	EVENT	Yes	No	(10F) Location Event Data	7/10/2003
3A817F	3A8335	EVENT	Yes	No	(110) Location Event Data	7/10/2003
3A8336	3A84AC	EVENT	Yes	No	(111) Location Event Data	7/10/2003
3A84AD	3A8A05	EVENT	Yes	No	(112) Location Event Data	7/10/2003
3A8A06	3A914E	EVENT	Yes	No	(113) Location Event Data	7/10/2003
3A914F	3A9951	EVENT	Yes	No	(114) Location Event Data	7/10/2003
3A9952	3A9A2D	EVENT	Yes	No	(115) Location Event Data	7/10/2003
3A9A2E	3A9C36	EVENT	Yes	No	(116) Location Event Data	7/10/2003
3A9C37	3A9EA0	EVENT	Yes	No	(117) Location Event Data	7/10/2003
3A9EA1	3A9F24	EVENT	Yes	No	(118) Location Event Data	7/10/2003
3A9F25	3AA178	EVENT	Yes	No	(119) Location Event Data	7/10/2003
3AA179	3AA543	EVENT	Yes	No	(11A) Location Event Data	7/10/2003
3AA544	3AB39D	EVENT	Yes	No	(11B) Location Event Data	7/10/2003
3AB39E	3ABB13	EVENT	Yes	No	(11C) Location Event Data	7/10/2003
3ABB14	3AC1E8	EVENT	Yes	No	(11D) Location Event Data	7/10/2003
3AC1E9	3ACA34	EVENT	Yes	No	(11E) Location Event Data	7/10/2003
3ACA35	3ACA8E	EVENT	Yes	No	(11F) Location Event Data	7/10/2003
3ACA8F	3ACDE9	EVENT	Yes	No	(120) Location Event Data	7/10/2003
3ACDEA	3AD079	EVENT	Yes	No	(121) Location Event Data	7/10/2003
3AD07A	3AD4D6	EVENT	Yes	No	(122) Location Event Data	7/10/2003
3AD4D7	3ADA5C	EVENT	Yes	No	(123) Location Event Data	7/10/2003
3ADA5D	3ADEC7	EVENT	Yes	No	(124) Location Event Data	7/10/2003
3ADEC8	3AE401	EVENT	Yes	No	(125) Location Event Data	7/10/2003
3AE402	3AE898	EVENT	Yes	No	(126) Location Event Data	7/10/2003
3AE899	3AEA2A	EVENT	Yes	No	(127) Location Event Data	7/10/2003
3AEA2B	3AECCE	EVENT	Yes	No	(128) Location Event Data	7/10/2003
3AECCF	3AED17	EVENT	Yes	No	(129) Location Event Data	7/10/2003
3AED18	3AEEA0	EVENT	Yes	No	(12A) Location Event Data	7/10/2003
3AEEA1	3AEF59	EVENT	Yes	No	(12B) Location Event Data	7/10/2003
3AEF5A	3AEFF1	EVENT	Yes	No	(12C) Location Event Data	7/10/2003
3AEFF2	3AF033	EVENT	Yes	No	(12D) Location Event Data	7/10/2003
3AF034	3AF06D	EVENT	Yes	No	(12E) Location Event Data	7/10/2003
3AF06E	3AF0A7	EVENT	Yes	No	(12F) Location Event Data	7/10/2003
3AF0A8	3AF0E1	EVENT	Yes	No	(130) Location Event Data	7/10/2003
3AF0E2	3AF199	EVENT	Yes	No	(131) Location Event Data	7/10/2003
3AF19A	3AF1E9	EVENT	Yes	No	(132) Location Event Data	7/10/2003
3AF1EA	3AF357	EVENT	Yes	No	(133) Location Event Data	7/10/2003
3AF358	3AF3A7	EVENT	Yes	No	(134) Location Event Data	7/10/2003
3AF3A8	3AF563	EVENT	Yes	No	(135) Location Event Data	7/10/2003
3AF564	3AF603	EVENT	Yes	No	(136) Location Event Data	7/10/2003
3AF604	3AF6B1	EVENT	Yes	No	(137) Location Event Data	7/10/2003
3AF6B2	3AF732	EVENT	Yes	No	(138) Location Event Data	7/10/2003
3AF733	3AF7D3	EVENT	Yes	No	(139) Location Event Data	7/10/2003
3AF7D4	3AF851	EVENT	Yes	No	(13A) Location Event Data	7/10/2003
3AF852	3AF8D1	EVENT	Yes	No	(13B) Location Event Data	7/10/2003
3AF8D2	3AF969	EVENT	Yes	No	(13C) Location Event Data	7/10/2003
3AF96A	3AFA17	EVENT	Yes	No	(13D) Location Event Data	7/10/2003
3AFA18	3AFAB2	EVENT	Yes	No	(13E) Location Event Data	7/10/2003
3AFAB3	3AFC9F	EVENT	Yes	No	(13F) Location Event Data	7/10/2003
3AFCA0			No	No		7/10/2003
3B0200	3B071A	EVENT	Yes	No	(143) Location Event Data	7/10/2003
3B071B	3B0DA3	EVENT	Yes	No	(144) Location Event Data	7/10/2003
3B0DA4	3B123A	EVENT	Yes	No	(145) Location Event Data	7/10/2003
3B123B	3B139F	EVENT	Yes	No	(146) Location Event Data	7/10/2003
3B13A0	3B14FA	EVENT	Yes	No	(147) Location Event Data	7/10/2003
3B14FB	3B1594	EVENT	Yes	No	(148) Location Event Data	7/10/2003
3B1595	3B1639	EVENT	Yes	No	(149) Location Event Data	7/10/2003
3B163A	3B1859	EVENT	Yes	No	(14A) Location Event Data	7/10/2003
3B185A	3B19CE	EVENT	Yes	No	(14B) Location Event Data	7/10/2003
3B19CF	3B1B83	EVENT	Yes	No	(14C) Location Event Data	7/10/2003
3B1B84	3B20CE	EVENT	Yes	No	(14D) Location Event Data	7/10/2003
3B20CF	3B27D8	EVENT	Yes	No	(14E) Location Event Data	7/10/2003
3B27D9	3B28A4	EVENT	Yes	No	(14F) Location Event Data	7/10/2003
3B28A5	3B29FE	EVENT	Yes	No	(150) Location Event Data	7/10/2003
3B29FF	3B2D76	EVENT	Yes	No	(151) Location Event Data	7/10/2003
3B2D77	3B2FBE	EVENT	Yes	No	(152) Location Event Data	7/10/2003
3B2FBF	3B3066	EVENT	Yes	No	(153) Location Event Data	7/10/2003
3B3067	3B3268	EVENT	Yes	No	(154) Location Event Data	7/10/2003
3B3269	3B337C	EVENT	Yes	No	(155) Location Event Data	7/10/2003
3B337D	3B342F	EVENT	Yes	No	(156) Location Event Data	7/10/2003
3B3430	3B3511	EVENT	Yes	No	(157) Location Event Data	7/10/2003
3B3512	3B366A	EVENT	Yes	No	(158) Location Event Data	7/10/2003
3B366B	3B3CC7	EVENT	Yes	No	(159) Location Event Data	7/10/2003
3B3CC8	3B3FD8	EVENT	Yes	No	(15A) Location Event Data	7/10/2003
3B3FD9	3B4C43	EVENT	Yes	No	(15B) Location Event Data	7/10/2003
3B4C44	3B50F7	EVENT	Yes	No	(15C) Location Event Data	7/10/2003
3B50F8	3B527C	EVENT	Yes	No	(15D) Location Event Data	7/10/2003
3B527D	3B52FA	EVENT	Yes	No	(15E) Location Event Data	7/10/2003
3B52FB	3B539D	EVENT	Yes	No	(15F) Location Event Data	7/10/2003
3B539E	3B54EC	EVENT	Yes	No	(160) Location Event Data	7/10/2003
3B54ED	3B557A	EVENT	Yes	No	(161) Location Event Data	7/10/2003
3B557B	3B5770	EVENT	Yes	No	(162) Location Event Data	7/10/2003
3B5771	3B616C	EVENT	Yes	No	(163) Location Event Data	7/10/2003
3B616D	3B61FC	EVENT	Yes	No	(164) Location Event Data	7/10/2003
3B61FD	3B62F4	EVENT	Yes	No	(165) Location Event Data	7/10/2003
3B62F5	3B644B	EVENT	Yes	No	(166) Location Event Data	7/10/2003
3B644C	3B6EA8	EVENT	Yes	No	(167) Location Event Data	7/10/2003
3B6EA9	3B70A1	EVENT	Yes	No	(168) Location Event Data	7/10/2003
3B70A2	3B76C3	EVENT	Yes	No	(169) Location Event Data	7/10/2003
3B76C4	3B77B5	EVENT	Yes	No	(16A) Location Event Data	7/10/2003
3B77B6	3B7A33	EVENT	Yes	No	(16B) Location Event Data	7/10/2003
3B7A34	3B8220	EVENT	Yes	No	(16C) Location Event Data	7/10/2003
3B8221	3B8805	EVENT	Yes	No	(16D) Location Event Data	7/10/2003
3B8806	3B8EA2	EVENT	Yes	No	(16E) Location Event Data	7/10/2003
3B8EA3	3B8F94	EVENT	Yes	No	(16F) Location Event Data	7/10/2003
3B8F95	3B931E	EVENT	Yes	No	(170) Location Event Data	7/10/2003
3B931F	3B9468	EVENT	Yes	No	(171) Location Event Data	7/10/2003
3B9469	3B983D	EVENT	Yes	No	(172) Location Event Data	7/10/2003
3B983E	3B9F78	EVENT	Yes	No	(173) Location Event Data	7/10/2003
3B9F79	3B9FC9	EVENT	Yes	No	(174) Location Event Data	7/10/2003
3B9FCA	3BA381	EVENT	Yes	No	(175) Location Event Data	7/10/2003
3BA382	3BA766	EVENT	Yes	No	(176) Location Event Data	7/10/2003
3BA767	3BAA9A	EVENT	Yes	No	(177) Location Event Data	7/10/2003
3BAA9B	3BAD8B	EVENT	Yes	No	(178) Location Event Data	7/10/2003
3BAD8C	3BB0B1	EVENT	Yes	No	(179) Location Event Data	7/10/2003
3BB0B2	3BB386	EVENT	Yes	No	(17A) Location Event Data	7/10/2003
3BB387	3BB3D7	EVENT	Yes	No	(17B) Location Event Data	7/10/2003
3BB3D8	3BB688	EVENT	Yes	No	(17C) Location Event Data	7/10/2003
3BB689	3BB93F	EVENT	Yes	No	(17D) Location Event Data	7/10/2003
3BB940	3BBC98	EVENT	Yes	No	(17E) Location Event Data	7/10/2003
3BBC99	3BBF90	EVENT	Yes	No	(17F) Location Event Data	7/10/2003
3BBF91	3BC1E1	EVENT	Yes	No	(180) Location Event Data	7/10/2003
3BC1E2	3BC2CC	EVENT	Yes	No	(181) Location Event Data	7/10/2003
3BC2CD	3BC53F	EVENT	Yes	No	(182) Location Event Data	7/10/2003
3BC540	3BC7E4	EVENT	Yes	No	(183) Location Event Data	7/10/2003
3BC7E5	3BCA76	EVENT	Yes	No	(184) Location Event Data	7/10/2003
3BCA77	3BCD52	EVENT	Yes	No	(185) Location Event Data	7/10/2003
3BCD53	3BD0AB	EVENT	Yes	No	(186) Location Event Data	7/10/2003
3BD0AC	3BD13A	EVENT	Yes	No	(187) Location Event Data	7/10/2003
3BD13B	3BD27A	EVENT	Yes	No	(188) Location Event Data	7/10/2003
3BD27B	3BD6F8	EVENT	Yes	No	(189) Location Event Data	7/10/2003
3BD6F9	3BDAD7	EVENT	Yes	No	(18A) Location Event Data	7/10/2003
3BDAD8	3BDE7C	EVENT	Yes	No	(18B) Location Event Data	7/10/2003
3BDE7D	3BDFAA	EVENT	Yes	No	(18C) Location Event Data	7/10/2003
3BDFAB	3BE53D	EVENT	Yes	No	(18D) Location Event Data	7/10/2003
3BE53E	3BE680	EVENT	Yes	No	(18E) Location Event Data	7/10/2003
3BE681	3BE94F	EVENT	Yes	No	(18F) Location Event Data	7/10/2003
3BE950	3BE9D6	EVENT	Yes	No	(190) Location Event Data	7/10/2003
3BE9D7	3BEAB2	EVENT	Yes	No	(191) Location Event Data	7/10/2003
3BEAB3	3BF057	EVENT	Yes	No	(192) Location Event Data	7/10/2003
3BF058	3BF642	EVENT	Yes	No	(193) Location Event Data	7/10/2003
3BF643	3BF728	EVENT	Yes	No	(194) Location Event Data	7/10/2003
3BF729	3BF7AD	EVENT	Yes	No	(195) Location Event Data	7/10/2003
3BF7AE	3BFE9B	EVENT	Yes	No	(196) Location Event Data	7/10/2003
3BFE9C	3C001B	EVENT	Yes	No	(197) Location Event Data	7/10/2003
3C001C	3C01CF	EVENT	Yes	No	(198) Location Event Data	7/10/2003
3C01D0			No	No		7/10/2003
3C0200	3C083C	EVENT	Yes	No	(199) Location Event Data	7/10/2003
3C083D	3C0C3C	EVENT	Yes	No	(19A) Location Event Data	7/10/2003
3C0C3D	3C0E67	EVENT	Yes	No	(19B) Location Event Data	7/10/2003
3C0E68	3C1128	EVENT	Yes	No	(19C) Location Event Data	7/10/2003
3C1129	3C125E	EVENT	Yes	No	(19D) Location Event Data	7/10/2003
3C125F	3C13CD	EVENT	Yes	No	(19E) Location Event Data	7/10/2003
3C13CE	3C1492	EVENT	Yes	No	(19F) Location Event Data	7/10/2003
3C1493	3C1686	EVENT	Yes	No	(1A0) Location Event Data	7/10/2003
3C1687	3C1B6F	EVENT	Yes	No	(1A1) Location Event Data	7/10/2003
3C1B70	3C1E49	EVENT	Yes	No	(1A2) Location Event Data	7/10/2003
3C1E4A	3C2040	EVENT	Yes	No	(1A3) Location Event Data	7/10/2003
3C2041	3C2175	EVENT	Yes	No	(1A4) Location Event Data	7/10/2003
3C2176	3C2502	EVENT	Yes	No	(1A5) Location Event Data	7/10/2003
3C2503	3C280F	EVENT	Yes	No	(1A6) Location Event Data	7/10/2003
3C2810	3C2B29	EVENT	Yes	No	(1A7) Location Event Data	7/10/2003
3C2B2A	3C2BB7	EVENT	Yes	No	(1A8) Location Event Data	7/10/2003
3C2BB8	3C2D3F	EVENT	Yes	No	(1A9) Location Event Data	7/10/2003
3C2D40	3C2E40	EVENT	Yes	No	(1AA) Location Event Data	7/10/2003
3C2E41	3C2F6C	EVENT	Yes	No	(1AB) Location Event Data	7/10/2003
3C2F6D	3C33BE	EVENT	Yes	No	(1AC) Location Event Data	7/10/2003
3C33BF	3C34F6	EVENT	Yes	No	(1AD) Location Event Data	7/10/2003
3C34F7	3C36E5	EVENT	Yes	No	(1AE) Location Event Data	7/10/2003
3C36E6	3C3888	EVENT	Yes	No	(1AF) Location Event Data	7/10/2003
3C3889	3C3971	EVENT	Yes	No	(1B0) Location Event Data	7/10/2003
3C3972	3C3A14	EVENT	Yes	No	(1B1) Location Event Data	7/10/2003
3C3A15	3C3B06	EVENT	Yes	No	(1B2) Location Event Data	7/10/2003
3C3B07	3C3BEA	EVENT	Yes	No	(1B3) Location Event Data	7/10/2003
3C3BEB	3C3E65	EVENT	Yes	No	(1B4) Location Event Data	7/10/2003
3C3E66	3C40C3	EVENT	Yes	No	(1B5) Location Event Data	7/10/2003
3C40C4	3C42B6	EVENT	Yes	No	(1B6) Location Event Data	7/10/2003
3C42B7	3C445E	EVENT	Yes	No	(1B7) Location Event Data	7/10/2003
3C445F	3C44FF	EVENT	Yes	No	(1B8) Location Event Data	7/10/2003
3C4500	3C47D3	EVENT	Yes	No	(1B9) Location Event Data	7/10/2003
3C47D4	3C48DF	EVENT	Yes	No	(1BA) Location Event Data	7/10/2003
3C48E0	3C4B52	EVENT	Yes	No	(1BB) Location Event Data	7/10/2003
3C4B53	3C575D	EVENT	Yes	No	(1BC) Location Event Data	7/10/2003
3C575E	3C5D13	EVENT	Yes	No	(1BD) Location Event Data	7/10/2003
3C5D14	3C60C8	EVENT	Yes	No	(1BE) Location Event Data	7/10/2003
3C60C9	3C60F3	EVENT	Yes	No	(1BF:1C0) Location Event Data	7/10/2003
3C60F4	3C62CC	EVENT	Yes	No	(1C1:1C4) Location Event Data	7/10/2003
3C62CD	3C6424	EVENT	Yes	No	(1C5) Location Event Data	7/10/2003
3C6425	3C6543	EVENT	Yes	No	(1C6) Location Event Data	7/10/2003
3C6544	3C6688	EVENT	Yes	No	(1C7) Location Event Data	7/10/2003
3C6689	3C681E	EVENT	Yes	No	(1C8) Location Event Data	7/10/2003
3C681F	3C69B0	EVENT	Yes	No	(1C9) Location Event Data	7/10/2003
3C69B1	3C6DEB	EVENT	Yes	No	(1CA:1CF) Location Event Data	7/10/2003
3C6DEC	3C6E6E	EVENT	Yes	No	(1D0) Location Event Data	7/10/2003
3C6E6F	3C76BC	EVENT	Yes	No	(1D1:1D2) Location Event Data	7/10/2003
